product_name,overall_rating,review
Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,3.88,"Good product, but could be better."
"Proence Weight Gainers, Mass Gainers",4.22,Amazing experience using this. Will buy again!
Discountgod Men's Checkered Casual Shirt,2.67,Has some flaws but works okay.
Silver Streak Men's Printed Casual Denim Shirt,4.31,Amazing experience using this. Will buy again!
"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",4.13,Amazing experience using this. Will buy again!
TEN TEN Women's Black Knee Length Boots Boots,4.98,Loved it! Great quality and value for money.
Carlton Boots,2.25,Not up to the mark. Expected better.
Quechua Arpenaz Novadry Boots,4.76,Amazing experience using this. Will buy again!
Steppings Trendy Boots,3.94,Value for money but has some minor issues.
Catwalk Boots,3.42,"Decent quality, satisfied with the purchase."
Magnum Footwear Lifestyle,2.5,"Average product, not worth the price."
T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,4.14,Amazing experience using this. Will buy again!
Rialto Boots,4.73,Amazing experience using this. Will buy again!
Kielz Ladies Boots,3.5,Value for money but has some minor issues.
"Alfajr WY16B Youth Digital Watch  - For Men, Boys",3.67,"Good product, but could be better."
La Briza Ashley Boots,2.65,"Average product, not worth the price."
"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",3.46,Value for money but has some minor issues.
Salt N Pepper 13-019 Femme Black Boots Boots,2.96,Not up to the mark. Expected better.
Shuz Touch Boots,2.27,Has some flaws but works okay.
Steppings Trendy Boots,2.04,"Average product, not worth the price."
Salt N Pepper 14-664 Denny Black Boots Boots,4.47,Amazing experience using this. Will buy again!
Crocs Boots,3.96,"Decent quality, satisfied with the purchase."
Lyc White Casual Boots,5.0,Excellent product! Highly recommended.
Myra Comfortable Boots,4.14,Excellent product! Highly recommended.
Get Glamr Designer Uggy Boots,3.11,Value for money but has some minor issues.
Kielz Ladies Boots,2.48,"Average product, not worth the price."
Kielz Ladies Boots,2.04,Not up to the mark. Expected better.
Kielz Ladies Boots,2.81,Has some flaws but works okay.
Salt N Pepper 13-516 Greta Red Boots,2.9,Not up to the mark. Expected better.
Steppings Trendy Boots,4.91,Amazing experience using this. Will buy again!
Rialto Boots,4.68,Amazing experience using this. Will buy again!
"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",3.96,"Decent quality, satisfied with the purchase."
Steppings Trendy Boots,2.27,Not up to the mark. Expected better.
"Disney DW100230 Digital Watch  - For Boys, Girls",2.69,Not up to the mark. Expected better.
Salt N Pepper 13-167 Marsha Red Boots,2.91,Not up to the mark. Expected better.
"Cartier W6701005 Analog Watch  - For Boys, Men",3.96,"Good product, but could be better."
Bruno Manetti Cannelita Boots,4.4,Amazing experience using this. Will buy again!
Stylistry Maxis Shde6603brwoboot3104 Boots,2.56,Not up to the mark. Expected better.
"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",3.75,Value for money but has some minor issues.
Kielz Boots,3.47,Value for money but has some minor issues.
Kielz Ladies Boots,2.36,Has some flaws but works okay.
Sakay Country Leather Boots,4.92,Amazing experience using this. Will buy again!
La Briza Black Boots,3.21,Value for money but has some minor issues.
Steppings Trendy Boots,2.39,Has some flaws but works okay.
"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",4.0,Excellent product! Highly recommended.
"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",4.26,Loved it! Great quality and value for money.
La Briza Mile Boots,2.43,Not up to the mark. Expected better.
"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",4.48,Amazing experience using this. Will buy again!
Sneha Unique Boots,3.27,Value for money but has some minor issues.
Timer TC_-_690143 Analog Watch  - For Boys,2.81,Not up to the mark. Expected better.
Shuz Touch Boots,2.17,Not up to the mark. Expected better.
Kielz Ladies Boots,3.5,Value for money but has some minor issues.
"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",5.0,Amazing experience using this. Will buy again!
Kielz Ladies Boots,3.5,"Decent quality, satisfied with the purchase."
Belle Gambe Boots,2.76,"Average product, not worth the price."
"Titan 1639SL03 Analog Watch  - For Boys, Men",2.54,Has some flaws but works okay.
Selfie Boots,4.8,Loved it! Great quality and value for money.
Clincher Semonday Boots,3.44,"Decent quality, satisfied with the purchase."
Kielz Ladies Boots,2.98,Not up to the mark. Expected better.
Belle Gambe Boots,4.87,Amazing experience using this. Will buy again!
"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",2.23,Has some flaws but works okay.
Roxy Boots,2.55,"Average product, not worth the price."
Bruno Manetti 676 Boots,3.08,Value for money but has some minor issues.
Jack klein BlackLed Digital Watch  - For Boys,1.0,Not as described. Waste of money.
Shuz Touch Boots,2.54,Has some flaws but works okay.
Foot Candy Boots,2.29,"Average product, not worth the price."
Credos Boots,2.26,Not up to the mark. Expected better.
"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",3.23,"Good product, but could be better."
Kielz Ladies Boots,3.98,Value for money but has some minor issues.
"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",2.15,"Average product, not worth the price."
Anand Archies Boots,3.9,"Decent quality, satisfied with the purchase."
Magnum Footwear Lifestyle Boots,3.21,"Good product, but could be better."
Steppings Trendy Boots,4.8,Excellent product! Highly recommended.
Bonzer Boots,4.19,Excellent product! Highly recommended.
Selfie Black Denim Boots,2.62,Not up to the mark. Expected better.
Steppings Boots Boots,4.01,Loved it! Great quality and value for money.
Belle Gambe Winter Boots,4.8,Excellent product! Highly recommended.
"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",5.0,Amazing experience using this. Will buy again!
Kielz Ladies Boots,3.57,"Good product, but could be better."
Kielz Boots,2.84,Has some flaws but works okay.
"Franck Bella FB74C Analog Watch  - For Boys, Men",3.97,"Good product, but could be better."
Carlton London Boots,5.0,Loved it! Great quality and value for money.
Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,2.7,"Average product, not worth the price."
Shuz Touch Boots,3.36,"Good product, but could be better."
La Briza Andria Boots,3.6,Value for money but has some minor issues.
Kielz Ladies Boots,3.87,"Good product, but could be better."
Carlton London Boots,2.39,Has some flaws but works okay.
Urban Country Ladies Boots,2.54,Has some flaws but works okay.
Get Glamr Designer Yuvu Boots,2.81,Not up to the mark. Expected better.
Kielz Boots,3.18,"Decent quality, satisfied with the purchase."
Belle Gambe Boots,4.64,Amazing experience using this. Will buy again!
Remson India Boots,3.57,Value for money but has some minor issues.
Steppings Trendy Boots,4.41,Excellent product! Highly recommended.
Jacques Farel KWD2324 Analog Watch  - For Boys,4.85,Excellent product! Highly recommended.
Rialto Boots,3.88,"Good product, but could be better."
Salt N Pepper 13-455 Pisa Black Boots,3.22,Value for money but has some minor issues.
"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",2.96,"Average product, not worth the price."
Klaur Melbourne Boots,2.85,Not up to the mark. Expected better.
Selfie Boots,3.09,"Decent quality, satisfied with the purchase."
Salt N Pepper 13-019 Femme Taupe Boots Boots,2.37,Not up to the mark. Expected better.
Get Glamr Stylish Boots,2.1,Has some flaws but works okay.
Steppings Trendy Boots,4.0,Amazing experience using this. Will buy again!
Steppings Boots Boots,4.26,Loved it! Great quality and value for money.
Do Bhai Boots,4.32,Excellent product! Highly recommended.
"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",2.13,"Average product, not worth the price."
Steppings Boots Boots,3.48,"Good product, but could be better."
Steppings Trendy Boots,4.09,Loved it! Great quality and value for money.
Sam Stefy Boots,3.32,"Decent quality, satisfied with the purchase."
TEN TEN Women's Tan Mid Length Boots Boots,4.9,Amazing experience using this. Will buy again!
Remson India Boots,4.34,Excellent product! Highly recommended.
Get Glamr Dazzle Boots,2.42,"Average product, not worth the price."
Dearfoams Boots,5.0,Loved it! Great quality and value for money.
"fastrack 38015PL01 Analog Watch  - For Men, Boys",3.91,Value for money but has some minor issues.
Kielz Ladies Boots,4.81,Amazing experience using this. Will buy again!
"A Avon PK_504 Analog Watch  - For Men, Boys",2.63,Has some flaws but works okay.
Kielz Ladies Boots,3.48,"Good product, but could be better."
"Franck Bella FB0122DD Analog Watch  - For Men, Boys",3.88,"Decent quality, satisfied with the purchase."
Catwalk Boots,3.74,Value for money but has some minor issues.
Rialto Boots,2.47,"Average product, not worth the price."
Salt N Pepper 12-298 Taupe Boots,3.89,Value for money but has some minor issues.
"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls",5.0,Loved it! Great quality and value for money.
Magnum Footwear Lifestyle Boots,4.47,Excellent product! Highly recommended.
Steppings Trendy Boots,2.72,Has some flaws but works okay.
Steppings Trendy Boots,2.13,Not up to the mark. Expected better.
TSG Kelz Boots,2.56,Not up to the mark. Expected better.
"3wish CUR-BLUE Silver Blue 8023 Analog Watch  - For Boys, Men",5.0,Excellent product! Highly recommended.
J.D.H. 111-222 Boots,2.25,Has some flaws but works okay.
Get Glamr Designer Snowra Boots,2.15,Not up to the mark. Expected better.
Pinza Black Christmas Boots,4.47,Loved it! Great quality and value for money.
Kielz Ladies Boots,3.97,"Decent quality, satisfied with the purchase."
Salt N Pepper 13-552 Rebacca Almond Boots,2.85,Not up to the mark. Expected better.
Selfie Boots,2.75,Not up to the mark. Expected better.
Belle Gambe Boots,3.0,Value for money but has some minor issues.
Willy Winkies Black Boots,3.84,"Good product, but could be better."
"Marvel DW100243 Digital Watch  - For Boys, Girls",4.0,Amazing experience using this. Will buy again!
DJH Boots,4.87,Amazing experience using this. Will buy again!
"Franck Bella FB123D Analog Watch  - For Men, Boys",3.22,"Decent quality, satisfied with the purchase."
Get Glamr Stylish Boots,4.42,Amazing experience using this. Will buy again!
"Skmei DG1010-Black-Gold Sports Digital Watch  - For Men, Boys, Women, Girls",3.17,Value for money but has some minor issues.
Magnum Footwear Lifestyle Boots,3.49,Value for money but has some minor issues.
Pinza Blue Cowboy Boots,2.72,Not up to the mark. Expected better.
Magnum Footwear Lifestyle Boots,2.31,Has some flaws but works okay.
Steppings Trendy Boots,4.0,Amazing experience using this. Will buy again!
CatBird Boots,3.6,"Decent quality, satisfied with the purchase."
Bruno Manetti 664 Boots,4.8,Loved it! Great quality and value for money.
Get Glamr Designer Kuyal Boots,3.61,"Good product, but could be better."
Stylistry Maxis Sa3228-25relong1712 Boots,2.72,Not up to the mark. Expected better.
Steppings Trendy Boots,2.3,Not up to the mark. Expected better.
Salt N Pepper 14-475 Dorthea Almond Boots Boots,2.17,"Average product, not worth the price."
Rialto Boots,3.28,Value for money but has some minor issues.
Get Glamr Designer Uggy Boots,4.25,Loved it! Great quality and value for money.
"A Avon PK_741 Analog Watch  - For Men, Boys",3.08,"Decent quality, satisfied with the purchase."
Carl 3346-1-Cheetablue Boots,5.0,Excellent product! Highly recommended.
Kielz Ladies Boots,3.9,Value for money but has some minor issues.
Swag 670014 Analog Watch  - For Boys,2.4,Has some flaws but works okay.
"Zoop C3030PP05 Analog Watch  - For Boys, Girls",4.8,Excellent product! Highly recommended.
20Dresses Brown Shiver Me Timbers Boots,3.38,Value for money but has some minor issues.
"ezyPRNT ""RH"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm",4.59,Loved it! Great quality and value for money.
"ezyPRNT ""BC"" Golf Ball -   Size: 4,  Diameter: 4.26 cm",2.7,Has some flaws but works okay.
"ezyPRNT ""OL"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm",2.18,Not up to the mark. Expected better.
"ezyPRNT ""CV"" Golf Ball -   Size: 4,  Diameter: 4.26 cm",4.89,Excellent product! Highly recommended.
Traditions Printed Protective Men's Gloves,2.25,Has some flaws but works okay.
First Choice Cotton Embroidered Diwan Set,3.7,Value for money but has some minor issues.
Eccellente Solid Hip Hop Cap,2.81,Has some flaws but works okay.
Nechams Resin Magnetic Magnetic Melamine Small Whiteboards,4.91,Amazing experience using this. Will buy again!
Traditions Printed Protective Men's Gloves,4.25,Amazing experience using this. Will buy again!
First Choice Cotton Embroidered Diwan Set,3.13,"Good product, but could be better."
First Choice Cotton Embroidered Diwan Set,2.81,Has some flaws but works okay.
JASPO Thunder Intact Superior Senior Skates Combo (skates+helmet+knee+elbow+bag)suitable for age upto 6 to 14 years Skating Kit,3.15,"Decent quality, satisfied with the purchase."
Momin Libas AK2414 Kashibo Solid Abaya No,2.54,Has some flaws but works okay.
ACM Pouch for Swipe Elite Plus,4.23,Excellent product! Highly recommended.
A R ENTERPRISES musical wlking cow,2.8,Has some flaws but works okay.
First Choice Cotton Embroidered Diwan Set,3.86,"Good product, but could be better."
SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set,2.55,"Average product, not worth the price."
First Choice Cotton Embroidered Diwan Set,3.08,"Good product, but could be better."
ShoeBuzz Casuals,3.49,"Good product, but could be better."
Zed Loafers,3.84,"Decent quality, satisfied with the purchase."
House This Queen Cotton Duvet Cover,2.24,Not up to the mark. Expected better.
ACM Pouch for Intex Aqua Lions 3g,4.0,Excellent product! Highly recommended.
womaniya Alloy Bracelet,3.86,"Good product, but could be better."
Taj Pearl Alloy Cuff,2.57,Not up to the mark. Expected better.
JASPO Saphire Dual Shoe Skates Combo Size 5 Skating Kit,2.71,Not up to the mark. Expected better.
Taj Pearl Alloy Cuff,3.4,"Good product, but could be better."
Bento Musical Teddy Bear,2.71,Not up to the mark. Expected better.
Wake Up Competition Full Sleeve Striped Men's Sweatshirt,2.2,Has some flaws but works okay.
Taj Pearl Alloy Cuff,4.13,Loved it! Great quality and value for money.
Taj Pearl Alloy Cuff,2.28,Not up to the mark. Expected better.
Cellbazaar Blackberry 8520 WHITE LCD LCD,2.7,"Average product, not worth the price."
Dressberry Gold Synthetic  Clutch,4.3,Loved it! Great quality and value for money.
Mast & Harbour Black Synthetic  Clutch,4.71,Loved it! Great quality and value for money.
JQR JQR Sports Shoes Running Shoes,3.3,"Good product, but could be better."
Sisel Printed Poly Cotton Women's Stole,4.54,Excellent product! Highly recommended.
JQR JQR Sports Shoes Running Shoes,2.98,Not up to the mark. Expected better.
"Knight Ace Kraasa Sports Running Shoes, Cycling Shoes, Walking Shoes",2.42,"Average product, not worth the price."
Dressberry Gold Synthetic  Clutch,3.08,"Good product, but could be better."
"Great Art Floral Print Wool, Viscose, 20% Kashmiri wool, 50% Cashmilon and 30% Wool ruffle yarn Women's Stole",4.51,Excellent product! Highly recommended.
Indistar Self Design Viscose Women's Stole,2.03,Not up to the mark. Expected better.
Mast & Harbour Black Synthetic  Clutch,2.29,Not up to the mark. Expected better.
Glacier Running Shoes,4.8,Excellent product! Highly recommended.
Dressberry Black Synthetic  Clutch,2.71,"Average product, not worth the price."
Zoe Marciano Blue Heavy-duty satin wong fabric  Clutch,3.35,Value for money but has some minor issues.
Asics Gel-Cumulus 17 Running Shoes,4.35,Excellent product! Highly recommended.
Dressberry Black Synthetic  Clutch,3.49,"Decent quality, satisfied with the purchase."
Mast & Harbour Gold Synthetic  Clutch,3.82,"Good product, but could be better."
Asics Gel-Kayano 22 Running Shoes,3.49,"Good product, but could be better."
Indistar Self Design Viscose Women's Stole,4.0,Excellent product! Highly recommended.
Dressberry Orange Synthetic  Clutch,3.25,"Decent quality, satisfied with the purchase."
Dressberry Gold Synthetic  Clutch,2.44,Not up to the mark. Expected better.
Dressberry Green Synthetic  Clutch,2.4,Has some flaws but works okay.
Zoe Marciano Blue Heavy-duty satin wong fabric  Clutch,2.86,Not up to the mark. Expected better.
Escan Lace Up,3.08,"Good product, but could be better."
Dressberry Gold Synthetic  Clutch,3.3,Value for money but has some minor issues.
"Kleio Festive, Party, Casual Blue PU  Clutch",3.47,"Decent quality, satisfied with the purchase."
Skipper Blends Aqua Striped Eyelet Window Curtain,2.96,"Average product, not worth the price."
Mizuno Lightweight Hoody Solid Men's Wind Cheater,4.21,Amazing experience using this. Will buy again!
"Turbo MSE TEST LITE Batting Gloves (Men, White, Orange)",2.26,"Average product, not worth the price."
"Turbo LEAGUE Batting Gloves (Men, White, Blue)",2.56,Not up to the mark. Expected better.
Stamin Mass Gainers,4.67,Excellent product! Highly recommended.
Pure Source Psi-As-Hanggnrlx Relaxing Liquid Air Freshener,5.0,Amazing experience using this. Will buy again!
Svt Ada Collections Formal Full Sleeve Checkered Women's Top,2.68,Not up to the mark. Expected better.
Svt Ada Collections Party 3/4 Sleeve Checkered Women's Top,3.19,Value for money but has some minor issues.
Svt Ada Collections Casual Full Sleeve Checkered Women's Top,4.02,Loved it! Great quality and value for money.
"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Opal Ring",2.37,"Average product, not worth the price."
"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Opal Ring",3.54,"Decent quality, satisfied with the purchase."
"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Amethyst Ring",4.56,Excellent product! Highly recommended.
Kings Multicolor Tassels,3.36,Value for money but has some minor issues.
Avsar Sachi Gold Diamond 18 K Ring,2.77,Not up to the mark. Expected better.
Peppermint Blues Casual Sleeveless Printed Women's Top,2.4,"Average product, not worth the price."
Nishtaa Yellow Gold 22 K Ring,4.65,Loved it! Great quality and value for money.
Xpert Schoolboys Blk Lace Up Shoes,3.2,"Decent quality, satisfied with the purchase."
Van Heusen Men's Printed Party Shirt,3.25,Value for money but has some minor issues.
Eshoppee Laughing Buddha For Success And Wealth Showpiece  -  12 cm,4.12,Amazing experience using this. Will buy again!
Karatcraft Triniya Promise Gold Diamond 18 K Ring,4.87,Loved it! Great quality and value for money.
Nishtaa Yellow Gold 22 K Ring,4.47,Excellent product! Highly recommended.
Fashion Tree Men's Solid Formal Shirt,2.42,Not up to the mark. Expected better.
Fashion Tree Men's Solid Formal Shirt,4.27,Loved it! Great quality and value for money.
Fashion Tree Men's Solid Formal Shirt,3.03,"Decent quality, satisfied with the purchase."
Peter England Men's Solid Formal Shirt,4.06,Excellent product! Highly recommended.
Dumdaar.Com Casual Short Sleeve Self Design Women's Top,3.9,"Good product, but could be better."
"F&S Casual, Party Short Sleeve Self Design Women's Top",3.78,Value for money but has some minor issues.
Oviya Casual Sleeveless Self Design Women's Top,2.94,"Average product, not worth the price."
The Clove Casual 3/4 Sleeve Self Design Women's Top,4.71,Excellent product! Highly recommended.
The Vanca Formal Full Sleeve Self Design Women's Top,4.99,Loved it! Great quality and value for money.
Fantasy Ika Casual Short Sleeve Solid Women's Top,2.14,"Average product, not worth the price."
Fantasy Ika Casual 3/4 Sleeve Self Design Women's Top,4.08,Amazing experience using this. Will buy again!
Ausy Casual Short Sleeve Floral Print Women's Top,4.6,Amazing experience using this. Will buy again!
Ausy Casual Short Sleeve Printed Women's Top,3.73,"Decent quality, satisfied with the purchase."
Karatcraft Triniya Promise Gold Diamond 18 K Ring,4.19,Excellent product! Highly recommended.
WearYourShine by PCJ The Joe Gold Diamond 18 K Ring,3.16,"Good product, but could be better."
Shilpkala Casual Short Sleeve Printed Women's Top,3.89,Value for money but has some minor issues.
Shilpkala Casual Sleeveless Solid Women's Top,3.43,Value for money but has some minor issues.
Shilpkala Casual Cape Sleeve Printed Women's Top,2.15,Not up to the mark. Expected better.
Shilpkala Casual Bell Sleeve Printed Women's Top,2.46,"Average product, not worth the price."
Shilpkala Casual Sleeveless Printed Women's Top,4.24,Loved it! Great quality and value for money.
Shilpkala Casual Sleeveless Embellished Women's Top,2.6,Has some flaws but works okay.
Shilpkala Casual Short Sleeve Printed Women's Top,4.79,Amazing experience using this. Will buy again!
Shilpkala Casual Sleeveless Printed Women's Top,4.81,Excellent product! Highly recommended.
Shilpkala Casual Sleeveless Printed Women's Top,2.82,Not up to the mark. Expected better.
Shilpkala Casual Sleeveless Printed Women's Top,4.12,Loved it! Great quality and value for money.
Shilpkala Casual Bell Sleeve Printed Women's Top,2.87,Has some flaws but works okay.
Shilpkala Casual Sleeveless Printed Women's Top,2.01,Not up to the mark. Expected better.
Shilpkala Casual Sleeveless Printed Women's Top,3.57,"Decent quality, satisfied with the purchase."
Shilpkala Casual Sleeveless Self Design Women's Top,4.8,Loved it! Great quality and value for money.
BlueStone The Juliette Yellow Gold Diamond 18 K Ring,2.93,"Average product, not worth the price."
Karatcraft Om Gold Diamond 18 K Ring,3.17,"Decent quality, satisfied with the purchase."
Karatcraft Dulce Gold Diamond 18 K Ring,3.48,"Decent quality, satisfied with the purchase."
"Soie Casual, Festive, Formal, Lounge Wear, Party Sleeveless Embellished, Solid Women's Top",2.18,Has some flaws but works okay.
Aaliya Casual Sleeveless Embellished Women's Top,3.37,"Decent quality, satisfied with the purchase."
Karatcraft Robini Emerald Gold Diamond 18 K Ring,4.87,Loved it! Great quality and value for money.
"@499 Casual, Festive, Formal, Lounge Wear, Party Sleeveless Embellished Women's Top",2.84,Not up to the mark. Expected better.
Karatcraft Om Gold Diamond 18 K Ring,2.51,Not up to the mark. Expected better.
Lee Mark Men's Solid Formal Shirt,2.58,"Average product, not worth the price."
Kairaa Lounge Wear Sleeveless Embellished Women's Top,4.23,Excellent product! Highly recommended.
Soie Casual Sleeveless Solid Women's Top,4.18,Loved it! Great quality and value for money.
Hichkii Casual Cape Sleeve Embroidered Women's Top,4.5,Excellent product! Highly recommended.
"Soie Casual, Festive, Formal, Lounge Wear, Party Sleeveless Solid Women's Top",4.6,Excellent product! Highly recommended.
